id_aluno,ano_referencia,ano_seguinte,evadiu
17,2022,2023,False
761,2022,2023,False
779,2022,2023,True
630,2022,2023,False
211,2022,2023,False
806,2022,2023,False
692,2022,2023,False
347,2022,2023,False
33,2022,2023,True
823,2022,2023,True
330,2022,2023,False
657,2022,2023,False
726,2022,2023,False
431,2022,2023,True
304,2022,2023,False
68,2022,2023,True
671,2022,2023,False
60,2022,2023,True
345,2022,2023,False
467,2022,2023,False
215,2022,2023,False
620,2022,2023,False
156,2022,2023,True
489,2022,2023,True
196,2022,2023,False
407,2022,2023,False
324,2022,2023,False
468,2022,2023,False
787,2022,2023,False
34,2022,2023,False
679,2022,2023,False
185,2022,2023,True
21,2022,2023,False
559,2022,2023,False
654,2022,2023,True
525,2022,2023,False
163,2022,2023,True
439,2022,2023,True
821,2022,2023,True
536,2022,2023,False
426,2022,2023,False
568,2022,2023,False
663,2022,2023,False
236,2022,2023,False
641,2022,2023,True
144,2022,2023,False
151,2022,2023,False
796,2022,2023,False
523,2022,2023,True
503,2022,2023,False
633,2022,2023,False
543,2022,2023,False
698,2022,2023,False
842,2022,2023,False
98,2022,2023,False
771,2022,2023,False
52,2022,2023,False
502,2022,2023,False
237,2022,2023,False
340,2022,2023,False
601,2022,2023,False
811,2022,2023,True
790,2022,2023,False
203,2022,2023,True
745,2022,2023,False
235,2022,2023,True
700,2022,2023,False
105,2022,2023,True
575,2022,2023,True
764,2022,2023,False
312,2022,2023,True
199,2022,2023,False
756,2022,2023,False
623,2022,2023,False
485,2022,2023,True
153,2022,2023,False
42,2022,2023,False
276,2022,2023,False
225,2022,2023,True
400,2022,2023,False
146,2022,2023,False
27,2022,2023,False
672,2022,2023,False
160,2022,2023,False
361,2022,2023,True
82,2022,2023,True
772,2022,2023,False
653,2022,2023,False
683,2022,2023,True
300,2022,2023,False
662,2022,2023,False
690,2022,2023,False
743,2022,2023,False
305,2022,2023,False
674,2022,2023,False
337,2022,2023,True
157,2022,2023,False
403,2022,2023,False
557,2022,2023,False
424,2022,2023,False
172,2022,2023,False
727,2022,2023,False
622,2022,2023,True
430,2022,2023,False
615,2022,2023,False
229,2022,2023,False
257,2022,2023,True
355,2022,2023,True
570,2022,2023,False
191,2022,2023,False
353,2022,2023,False
384,2022,2023,False
549,2022,2023,False
59,2022,2023,False
306,2022,2023,False
103,2022,2023,False
376,2022,2023,False
650,2022,2023,True
70,2022,2023,False
35,2022,2023,False
760,2022,2023,False
719,2022,2023,False
150,2022,2023,True
481,2022,2023,True
351,2022,2023,True
631,2022,2023,False
85,2022,2023,False
329,2022,2023,True
444,2022,2023,False
495,2022,2023,False
386,2022,2023,False
677,2022,2023,False
655,2022,2023,False
79,2022,2023,False
847,2022,2023,False
479,2022,2023,False
515,2022,2023,True
526,2022,2023,False
369,2022,2023,False
624,2022,2023,False
111,2022,2023,False
219,2022,2023,True
301,2022,2023,False
31,2022,2023,False
13,2022,2023,False
333,2022,2023,True
769,2022,2023,False
1,2022,2023,False
64,2022,2023,False
552,2022,2023,False
6,2022,2023,False
628,2022,2023,False
110,2022,2023,False
239,2022,2023,False
748,2022,2023,False
530,2022,2023,False
342,2022,2023,False
81,2022,2023,False
76,2022,2023,False
798,2022,2023,False
678,2022,2023,False
214,2022,2023,True
494,2022,2023,False
61,2022,2023,False
176,2022,2023,False
849,2022,2023,True
411,2022,2023,False
814,2022,2023,False
836,2022,2023,False
453,2022,2023,True
409,2022,2023,False
88,2022,2023,False
675,2022,2023,False
588,2022,2023,False
41,2022,2023,True
484,2022,2023,False
840,2022,2023,False
578,2022,2023,False
664,2022,2023,False
154,2022,2023,True
332,2022,2023,False
457,2022,2023,False
860,2022,2023,False
651,2022,2023,False
66,2022,2023,True
268,2022,2023,True
108,2022,2023,False
608,2022,2023,False
510,2022,2023,True
519,2022,2023,False
40,2022,2023,False
830,2022,2023,False
137,2022,2023,False
373,2022,2023,False
844,2022,2023,True
824,2022,2023,True
348,2022,2023,False
758,2022,2023,True
3,2022,2023,True
474,2022,2023,False
383,2022,2023,False
39,2022,2023,False
96,2022,2023,False
582,2022,2023,True
159,2022,2023,False
78,2022,2023,False
131,2022,2023,False
544,2022,2023,True
102,2022,2023,True
534,2022,2023,False
73,2022,2023,True
448,2022,2023,True
513,2022,2023,False
267,2022,2023,False
574,2022,2023,False
732,2022,2023,True
632,2022,2023,False
338,2022,2023,False
567,2022,2023,True
610,2022,2023,False
482,2022,2023,True
282,2022,2023,True
298,2022,2023,False
273,2022,2023,False
528,2022,2023,False
807,2022,2023,False
694,2022,2023,True
569,2022,2023,True
402,2022,2023,False
799,2022,2023,False
90,2022,2023,False
478,2022,2023,False
843,2022,2023,True
269,2022,2023,False
625,2022,2023,True
596,2022,2023,True
499,2022,2023,False
375,2022,2023,False
767,2022,2023,False
261,2022,2023,True
579,2022,2023,True
9,2022,2023,True
158,2022,2023,False
585,2022,2023,True
435,2022,2023,True
715,2022,2023,False
832,2022,2023,False
389,2022,2023,False
264,2022,2023,True
656,2022,2023,False
681,2022,2023,False
498,2022,2023,True
319,2022,2023,False
427,2022,2023,True
800,2022,2023,True
247,2022,2023,False
750,2022,2023,False
782,2022,2023,False
716,2022,2023,False
232,2022,2023,True
684,2022,2023,False
84,2022,2023,False
114,2022,2023,False
26,2022,2023,False
661,2022,2023,False
785,2022,2023,False
438,2022,2023,False
245,2022,2023,False
648,2022,2023,True
228,2022,2023,True
147,2022,2023,False
491,2022,2023,False
174,2022,2023,False
533,2022,2023,False
452,2022,2023,True
614,2022,2023,False
443,2022,2023,False
374,2022,2023,False
707,2022,2023,False
388,2022,2023,False
415,2022,2023,False
571,2022,2023,False
180,2022,2023,False
647,2022,2023,False
711,2022,2023,True
859,2022,2023,False
709,2022,2023,False
2,2022,2023,False
122,2022,2023,True
218,2022,2023,False
354,2022,2023,True
377,2022,2023,False
194,2022,2023,True
548,2022,2023,False
759,2022,2023,True
314,2022,2023,True
845,2022,2023,True
149,2022,2023,False
501,2022,2023,False
327,2022,2023,True
747,2022,2023,False
382,2022,2023,False
170,2022,2023,False
231,2022,2023,True
420,2022,2023,False
791,2022,2023,False
541,2022,2023,True
838,2022,2023,True
852,2022,2023,True
599,2022,2023,False
728,2022,2023,True
380,2022,2023,False
138,2022,2023,False
171,2022,2023,False
295,2022,2023,False
858,2022,2023,False
529,2022,2023,False
512,2022,2023,True
446,2022,2023,True
130,2022,2023,True
136,2022,2023,True
117,2022,2023,True
752,2022,2023,False
210,2022,2023,True
161,2022,2023,False
187,2022,2023,False
278,2022,2023,False
16,2022,2023,True
217,2022,2023,False
323,2022,2023,True
53,2022,2023,False
729,2022,2023,False
296,2022,2023,True
74,2022,2023,True
119,2022,2023,False
4,2022,2023,True
783,2022,2023,False
703,2022,2023,False
250,2022,2023,False
669,2022,2023,False
856,2022,2023,False
762,2022,2023,False
708,2022,2023,False
385,2022,2023,True
731,2022,2023,False
405,2022,2023,True
5,2022,2023,False
587,2022,2023,False
822,2022,2023,False
126,2022,2023,True
855,2022,2023,False
577,2022,2023,False
687,2022,2023,False
483,2022,2023,False
537,2022,2023,True
36,2022,2023,False
449,2022,2023,False
63,2022,2023,False
749,2022,2023,False
725,2022,2023,False
260,2022,2023,False
786,2022,2023,True
572,2022,2023,True
562,2022,2023,False
15,2022,2023,True
509,2022,2023,False
660,2022,2023,True
339,2022,2023,False
466,2022,2023,False
695,2022,2023,True
100,2022,2023,True
362,2022,2023,False
272,2022,2023,True
702,2022,2023,False
558,2022,2023,False
230,2022,2023,True
222,2022,2023,True
184,2022,2023,False
850,2022,2023,False
121,2022,2023,False
780,2022,2023,False
123,2022,2023,False
287,2022,2023,False
320,2022,2023,False
629,2022,2023,False
179,2022,2023,False
408,2022,2023,False
134,2022,2023,True
341,2022,2023,True
14,2022,2023,False
583,2022,2023,False
248,2022,2023,True
605,2022,2023,False
274,2022,2023,False
22,2022,2023,True
470,2022,2023,False
746,2022,2023,False
395,2022,2023,False
286,2022,2023,False
775,2022,2023,True
94,2022,2023,False
318,2022,2023,False
637,2022,2023,False
493,2022,2023,False
813,2022,2023,False
86,2022,2023,False
741,2022,2023,False
266,2022,2023,True
794,2022,2023,False
507,2022,2023,True
460,2022,2023,True
132,2022,2023,False
857,2022,2023,False
781,2022,2023,False
837,2022,2023,False
37,2022,2023,True
670,2022,2023,False
363,2022,2023,False
487,2022,2023,False
445,2022,2023,False
521,2022,2023,False
275,2022,2023,True
611,2022,2023,True
80,2022,2023,False
331,2022,2023,False
293,2022,2023,True
128,2022,2023,False
737,2022,2023,False
417,2022,2023,False
643,2022,2023,False
818,2022,2023,False
826,2022,2023,False
437,2022,2023,False
612,2022,2023,False
242,2022,2023,False
456,2022,2023,False
704,2022,2023,False
